,Temperature,Cool Rate,Final Score,Compute Time
276,7250.0,0.98,4563,64.45262694358826
277,7250.0,0.985,5181,63.77520990371704
278,7250.0,0.99,4761,65.27901530265808
279,7250.0,0.995,4081,58.052783250808716
280,7500.0,0.95,4838,70.1808500289917
281,7500.0,0.955,3984,58.25029802322388
282,7500.0,0.96,4619,62.39346790313721
283,7500.0,0.965,4126,55.96876120567322
284,7500.0,0.97,4351,62.46058177947998
285,7500.0,0.975,4567,66.91506004333496
286,7500.0,0.98,4340,57.630584716796875
287,7500.0,0.985,5493,75.2070050239563
288,7500.0,0.99,5252,73.94264507293701
289,7500.0,0.995,4958,66.69679403305054
290,7750.0,0.95,4457,62.81004285812378
291,7750.0,0.955,5478,77.70784568786621
292,7750.0,0.96,4319,61.20858287811279
293,7750.0,0.965,5131,67.46854615211487
294,7750.0,0.97,5546,68.77639698982239
295,7750.0,0.975,5468,80.16635084152222
296,7750.0,0.98,3434,50.742095708847046
297,7750.0,0.985,4519,66.80776190757751
298,7750.0,0.99,3192,49.49856400489807
299,7750.0,0.995,3398,52.98859882354736
300,8000.0,0.95,5258,62.00863981246948
301,8000.0,0.955,4199,56.66175723075867
302,8000.0,0.96,5077,68.34423899650574
303,8000.0,0.965,3596,57.486328125
304,8000.0,0.97,6128,73.91880488395691
305,8000.0,0.975,4900,67.50282883644104
306,8000.0,0.98,4511,67.22975826263428
